clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,periodo_act,anio_ingreso_periodo,promedio,promedioxperiodo,promedio_pred,alumnoEnRiesgoBajoRendimiento
4649,6,1,26,BUENA VISTA,25006.0,Culiacan,1,verano,2006,100.0,87.88642063492063,81.64121,Sin riesgo
4653,6,1,70,FERROCARRILERA,25006.0,Culiacan,1,ago-dic,2005,81.42857142857143,64.11383333333335,66.23696,En riesgo
4653,6,1,70,FERROCARRILERA,25006.0,Culiacan,1,ene-jun,2006,70.8,57.67137777777778,60.586723,En riesgo
4653,6,1,70,FERROCARRILERA,25006.0,Culiacan,1,verano,2007,0.0,55.52514285714285,66.65937,En riesgo
4665,6,2,129,STANZA SOLARE,25006.0,Culiacan,1,ago-dic,2005,59.57142857142857,48.62108796296297,67.05539,En riesgo
4665,6,2,129,STANZA SOLARE,25006.0,Culiacan,1,ene-jun,2006,70.6,79.4021455026455,68.84523,Sin riesgo
4665,6,2,129,STANZA SOLARE,25006.0,Culiacan,1,verano,2007,84.5,84.77927777777776,84.11656,Sin riesgo
4674,6,2,128,AVIACION,25006.0,Culiacan,1,ago-dic,2005,69.0,68.28523232323234,67.88501,En riesgo
4674,6,2,128,AVIACION,25006.0,Culiacan,1,ene-jun,2006,59.333333333333336,71.46684625850342,65.3177,Sin riesgo
4674,6,2,128,AVIACION,25006.0,Culiacan,1,verano,2009,90.5,87.17478174603173,84.19436,Sin riesgo
4684,6,1,68,FRACC.,25006.0,Culiacan,1,ago-dic,2005,57.714285714285715,66.11671587301588,66.96547,En riesgo
4684,6,1,68,FRACC.,25006.0,Culiacan,1,ene-jun,2006,91.0,62.92993333333333,61.893597,En riesgo
4684,6,1,68,FRACC.,25006.0,Culiacan,1,verano,2006,70.0,85.38333333333333,79.934,Sin riesgo
4687,6,1,107,RESID.,25006.0,Culiacan,1,ago-dic,2005,82.14285714285714,76.1636227324263,70.13747,Sin riesgo
4687,6,1,107,RESID.,25006.0,Culiacan,1,ene-jun,2006,56.333333333333336,64.96590052910055,63.00227,En riesgo
4687,6,1,107,RESID.,25006.0,Culiacan,1,verano,2009,93.0,90.51799999999999,85.84269,Sin riesgo
4716,6,1,73,JARDIN,25006.0,Culiacan,1,ago-dic,2005,55.42857142857143,54.70759295334297,62.864353,En riesgo
