clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,clave,nombre,corto,ultimo_digito,periodo,anio_ingreso,periodo_act,anio_ingreso_periodo,promedio,promedio_pred
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,39.0,57.48761
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,89.83333333333333,65.01831
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2007,80.0,66.195015
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2009,70.0,80.23547
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,94.0,87.03551
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,53.833333333333336,61.247364
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,62.4,60.221287
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2007,42.0,51.203484
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2008,48.5,51.853065
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,45.0,63.936886
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,44.6,57.315884
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,59.4,49.916294
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2008,72.5,49.155033
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,30.0,53.551212
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,64.0,57.333168
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2007,95.0,60.597347
4523,4,1,62,VILLA DEL REAL,25006.0,Culiacan,2053.0,,1,62,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,95.0,78.57325
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,57.166666666666664,65.977776
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,66.0,65.147865
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2007,41.75,55.054302
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2009,64.0,67.169426
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,55.857142857142854,67.97167
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,63.2,60.802975
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,52.333333333333336,52.327694
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2008,21.75,50.94154
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,2053.0,,1,107,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,44.0,57.27357
