clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,66.4,67.53784,62.03056031746033,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,verano,2006,35.0,70.83854,66.20842857142856,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,84.83333333333333,61.794876,74.45819642857143,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,41.666666666666664,62.409363,62.03056031746033,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,verano,2007,70.0,65.1119,66.20842857142856,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2008,82.0,62.44446,74.45819642857143,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2008,82.625,62.038395,62.03056031746033,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,verano,2008,80.0,70.28818,66.20842857142856,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2009,55.75,71.121376,74.45819642857143,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2009,74.0,65.909256,62.03056031746033,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,verano,2009,78.0,78.53573,66.20842857142856,En riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2010,80.0,71.50417,74.45819642857143,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,72.71428571428571,73.079956,73.21438787515007,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2006,82.0,71.35938,73.21438787515007,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,65.0,70.03468,68.98850793650793,En riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,verano,2006,90.5,77.48828,80.32298412698414,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,62.5,62.900482,73.21438787515007,Sin riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,74.85714285714286,63.51497,68.98850793650793,En riesgo
3575,0,1,95,GUADALUPE,25006.0,Culiacan,1,95,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2008,58.0,63.144,68.98850793650793,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,85.2,73.59989,83.63850476190476,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,55.833333333333336,69.744225,63.20514795918368,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,verano,2006,80.0,76.99636,81.49969047619048,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,71.57142857142857,62.61,83.63850476190476,Sin riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,72.14285714285714,63.224487,63.20514795918368,En riesgo
3601,0,1,107,SANTA NATALIA,25006.0,Culiacan,1,107,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2008,70.83333333333333,63.259586,83.63850476190476,Sin riesgo
